Invoice #,Invoice Date,Client,Reservation #,Line Item Description,Category,Quantity (hrs/units),Rate ($),Amount ($),Status
INV200466,2023-01-17,Alex Martinez,R100040,Instructor time - Jenny Park,Instructor,1.9,75,142.5,Paid
INV200466,2023-01-17,Alex Martinez,R100040,Ground instruction / briefing,Ground,1.3,65,84.5,Paid
INV200467,2023-01-16,Marcus Johnson,R100335,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.8,190,342.0,Paid
INV200467,2023-01-16,Marcus Johnson,R100335,Instructor time - Sarah Phillips,Instructor,2.3,75,172.5,Paid
INV200467,2023-01-16,Marcus Johnson,R100335,Ground instruction / briefing,Ground,0.7,65,45.5,Paid
INV200468,2023-01-15,Hannah Davis,R100924,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.8,185,333.0,Outstanding
INV200468,2023-01-15,Hannah Davis,R100924,Instructor time - Mike Anderson,Instructor,2.3,75,172.5,Outstanding
INV200468,2023-01-15,Hannah Davis,R100924,Ground instruction / briefing,Ground,1.4,65,91.0,Outstanding
INV200469,2023-01-16,Isabella Rodriguez,R101025,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200469,2023-01-16,Isabella Rodriguez,R101025,Instructor time - Doug Hayes,Instructor,2.1,75,157.5,Paid
INV200470,2023-01-17,Ava Singh,R101271,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.6,175,280.0,Paid
INV200470,2023-01-17,Ava Singh,R101271,Instructor time - Tom Reyes,Instructor,1.6,75,120.0,Paid
INV200471,2023-01-18,Emma Thompson,R100611,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.0,185,370.0,Paid
INV200471,2023-01-18,Emma Thompson,R100611,Instructor time - Tom Reyes,Instructor,2.0,75,150.0,Paid
INV200471,2023-01-18,Emma Thompson,R100611,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200472,2023-01-19,Olivia Nguyen,R100838,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200472,2023-01-19,Olivia Nguyen,R100838,Instructor time - Doug Hayes,Instructor,1.7,75,127.5,Paid
INV200473,2023-01-20,Ryan O'Brien,R100715,Aircraft rental - N3340T (Piper PA-44-180),Aircraft,2.0,385,770.0,Paid
INV200474,2023-01-18,Lucas Bennett,R101462,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.8,185,333.0,Paid
INV200474,2023-01-18,Lucas Bennett,R101462,Instructor time - Sarah Phillips,Instructor,2.3,75,172.5,Paid
INV200474,2023-01-18,Lucas Bennett,R101462,Ground instruction / briefing,Ground,0.8,65,52.0,Paid
INV200475,2023-01-19,Jamie Chen,R100182,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.1,175,367.5,Paid
INV200475,2023-01-19,Jamie Chen,R100182,Instructor time - Mike Anderson,Instructor,2.4,75,180.0,Paid
INV200476,2023-01-20,Emma Thompson,R100616,Aircraft rental - N1175C (Piper PA-28R-201),Aircraft,1.6,235,376.0,Paid
INV200476,2023-01-20,Emma Thompson,R100616,Instructor time - Tom Reyes,Instructor,1.6,75,120.0,Paid
INV200476,2023-01-20,Emma Thompson,R100616,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200477,2023-01-22,Alex Martinez,R100044,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.7,190,323.0,Paid
INV200477,2023-01-22,Alex Martinez,R100044,Instructor time - Jenny Park,Instructor,1.7,75,127.5,Paid
INV200478,2023-01-22,Jamie Chen,R100166,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.0,185,370.0,Paid
INV200478,2023-01-22,Jamie Chen,R100166,Instructor time - Mike Anderson,Instructor,2.3,75,172.5,Paid
INV200478,2023-01-22,Jamie Chen,R100166,Ground instruction / briefing,Ground,1.0,65,65.0,Paid
INV200479,2023-01-25,Marcus Johnson,R100344,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200479,2023-01-25,Marcus Johnson,R100344,Instructor time - Sarah Phillips,Instructor,1.8,75,135.0,Paid
INV200479,2023-01-25,Marcus Johnson,R100344,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200480,2023-01-24,Hannah Davis,R100932,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.9,175,332.5,Paid
INV200480,2023-01-24,Hannah Davis,R100932,Instructor time - Mike Anderson,Instructor,2.2,75,165.0,Paid
INV200481,2023-01-28,Lucas Bennett,R101449,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.3,185,240.5,Paid
INV200481,2023-01-28,Lucas Bennett,R101449,Instructor time - Mike Anderson,Instructor,1.3,75,97.5,Paid
INV200482,2023-01-28,Lucas Bennett,R101465,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.5,185,277.5,Outstanding
INV200482,2023-01-28,Lucas Bennett,R101465,Instructor time - Sarah Phillips,Instructor,1.5,75,112.5,Outstanding
INV200483,2023-01-28,Mia Foster,R101357,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.3,185,240.5,Paid
INV200483,2023-01-28,Mia Foster,R101357,Instructor time - Mike Anderson,Instructor,1.3,75,97.5,Paid
INV200484,2023-01-30,Emma Thompson,R100618,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.9,175,332.5,Paid
INV200484,2023-01-30,Emma Thompson,R100618,Instructor time - Tom Reyes,Instructor,2.2,75,165.0,Paid
INV200485,2023-01-31,Lucas Bennett,R101455,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.3,185,240.5,Paid
INV200485,2023-01-31,Lucas Bennett,R101455,Instructor time - Sarah Phillips,Instructor,1.6,75,120.0,Paid
INV200486,2023-01-31,Alex Martinez,R100043,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.3,185,425.5,Paid
INV200486,2023-01-31,Alex Martinez,R100043,Instructor time - Jenny Park,Instructor,2.3,75,172.5,Paid
INV200487,2023-02-01,Marcus Johnson,R100347,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.1,190,399.0,Outstanding
INV200488,2023-01-31,Emma Thompson,R100615,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.5,175,262.5,Paid
INV200488,2023-01-31,Emma Thompson,R100615,Instructor time - Tom Reyes,Instructor,2.0,75,150.0,Paid
INV200489,2023-02-02,Olivia Nguyen,R100832,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.3,175,402.5,Paid
INV200489,2023-02-02,Olivia Nguyen,R100832,Instructor time - Doug Hayes,Instructor,2.3,75,172.5,Paid
INV200490,2023-02-01,Mia Foster,R101383,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.7,185,314.5,Paid
INV200490,2023-02-01,Mia Foster,R101383,Instructor time - Jenny Park,Instructor,1.7,75,127.5,Paid
INV200491,2023-02-02,Alex Martinez,R100058,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.3,190,247.0,Paid
INV200491,2023-02-02,Alex Martinez,R100058,Instructor time - Jenny Park,Instructor,1.3,75,97.5,Paid
INV200491,2023-02-02,Alex Martinez,R100058,Ground instruction / briefing,Ground,1.2,65,78.0,Paid
INV200492,2023-02-02,Olivia Nguyen,R100821,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.3,175,227.5,Paid
INV200492,2023-02-02,Olivia Nguyen,R100821,Instructor time - Doug Hayes,Instructor,1.8,75,135.0,Paid
INV200493,2023-02-02,Ava Singh,R101283,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.1,190,399.0,Paid
INV200493,2023-02-02,Ava Singh,R101283,Instructor time - Tom Reyes,Instructor,2.4,75,180.0,Paid
INV200493,2023-02-02,Ava Singh,R101283,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200494,2023-02-05,Alex Martinez,R100048,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.3,175,402.5,Paid
INV200494,2023-02-05,Alex Martinez,R100048,Instructor time - Jenny Park,Instructor,2.8,75,210.0,Paid
INV200495,2023-02-06,Alex Martinez,R100055,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.0,190,380.0,Paid
INV200495,2023-02-06,Alex Martinez,R100055,Instructor time - Jenny Park,Instructor,2.5,75,187.5,Paid
INV200495,2023-02-06,Alex Martinez,R100055,Ground instruction / briefing,Ground,0.7,65,45.5,Paid
INV200496,2023-02-05,Mia Foster,R101367,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.2,175,385.0,Paid
INV200496,2023-02-05,Mia Foster,R101367,Instructor time - Jenny Park,Instructor,2.2,75,165.0,Paid
INV200496,2023-02-05,Mia Foster,R101367,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200497,2023-02-07,Alex Martinez,R100051,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.5,175,262.5,Paid
INV200497,2023-02-07,Alex Martinez,R100051,Instructor time - Jenny Park,Instructor,1.5,75,112.5,Paid
INV200498,2023-02-07,Olivia Nguyen,R100846,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200498,2023-02-07,Olivia Nguyen,R100846,Instructor time - Doug Hayes,Instructor,2.1,75,157.5,Paid
INV200499,2023-02-06,Lucas Bennett,R101442,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.5,185,277.5,Paid
INV200499,2023-02-06,Lucas Bennett,R101442,Instructor time - Tom Reyes,Instructor,1.5,75,112.5,Paid
INV200500,2023-02-07,Emma Thompson,R100621,Aircraft rental - N9923R (Cessna 182RG),Aircraft,1.9,230,437.0,Paid
INV200500,2023-02-07,Emma Thompson,R100621,Instructor time - Sarah Phillips,Instructor,2.4,75,180.0,Paid
INV200500,2023-02-07,Emma Thompson,R100621,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200501,2023-02-09,Jamie Chen,R100176,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.2,175,385.0,Paid
INV200501,2023-02-09,Jamie Chen,R100176,Instructor time - Mike Anderson,Instructor,2.7,75,202.5,Paid
INV200502,2023-02-08,Emma Thompson,R100617,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.9,175,332.5,Paid
INV200502,2023-02-08,Emma Thompson,R100617,Instructor time - Tom Reyes,Instructor,1.9,75,142.5,Paid
INV200503,2023-02-09,Ryan O'Brien,R100718,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.7,175,297.5,Paid
INV200503,2023-02-09,Ryan O'Brien,R100718,Instructor time - Sarah Phillips,Instructor,2.2,75,165.0,Paid
INV200504,2023-02-07,Mia Foster,R101375,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200504,2023-02-07,Mia Foster,R101375,Instructor time - Jenny Park,Instructor,2.4,75,180.0,Paid
INV200504,2023-02-07,Mia Foster,R101375,Ground instruction / briefing,Ground,0.8,65,52.0,Paid
INV200505,2023-02-08,Mia Foster,R101378,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.7,175,297.5,Paid
INV200505,2023-02-08,Mia Foster,R101378,Instructor time - Tom Reyes,Instructor,1.7,75,127.5,Paid
INV200506,2023-02-08,Olivia Nguyen,R100829,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.9,175,332.5,Paid
INV200506,2023-02-08,Olivia Nguyen,R100829,Instructor time - Doug Hayes,Instructor,2.2,75,165.0,Paid
INV200506,2023-02-08,Olivia Nguyen,R100829,Ground instruction / briefing,Ground,0.7,65,45.5,Paid
INV200507,2023-02-10,Mia Foster,R101360,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200507,2023-02-10,Mia Foster,R101360,Instructor time - Jenny Park,Instructor,1.6,75,120.0,Paid
INV200508,2023-02-10,Hannah Davis,R100939,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.9,175,332.5,Paid
INV200509,2023-02-12,Alex Martinez,R100049,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.7,190,323.0,Paid
INV200509,2023-02-12,Alex Martinez,R100049,Instructor time - Mike Anderson,Instructor,1.7,75,127.5,Paid
INV200509,2023-02-12,Alex Martinez,R100049,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200510,2023-02-13,Ryan O'Brien,R100727,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.7,190,323.0,Paid
INV200510,2023-02-13,Ryan O'Brien,R100727,Instructor time - Sarah Phillips,Instructor,2.2,75,165.0,Paid
INV200510,2023-02-13,Ryan O'Brien,R100727,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200511,2023-02-12,Marcus Johnson,R100357,Aircraft rental - N9923R (Cessna 182RG),Aircraft,2.0,230,460.0,Paid
INV200511,2023-02-12,Marcus Johnson,R100357,Instructor time - Sarah Phillips,Instructor,2.0,75,150.0,Paid
INV200511,2023-02-12,Marcus Johnson,R100357,Ground instruction / briefing,Ground,1.2,65,78.0,Paid
INV200512,2023-02-15,Marcus Johnson,R100355,Aircraft rental - N9923R (Cessna 182RG),Aircraft,2.0,230,460.0,Paid
INV200512,2023-02-15,Marcus Johnson,R100355,Instructor time - Doug Hayes,Instructor,2.0,75,150.0,Paid
INV200512,2023-02-15,Marcus Johnson,R100355,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200513,2023-02-14,Isabella Rodriguez,R101018,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.6,175,280.0,Paid
INV200513,2023-02-14,Isabella Rodriguez,R101018,Instructor time - Doug Hayes,Instructor,1.6,75,120.0,Paid
INV200514,2023-02-18,Emma Thompson,R100620,Aircraft rental - N9923R (Cessna 182RG),Aircraft,1.8,230,414.0,Outstanding
INV200514,2023-02-18,Emma Thompson,R100620,Instructor time - Tom Reyes,Instructor,2.3,75,172.5,Outstanding
INV200514,2023-02-18,Emma Thompson,R100620,Ground instruction / briefing,Ground,1.4,65,91.0,Outstanding
INV200515,2023-02-16,Isabella Rodriguez,R101043,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.9,185,351.5,Paid
INV200515,2023-02-16,Isabella Rodriguez,R101043,Instructor time - Mike Anderson,Instructor,2.4,75,180.0,Paid
INV200516,2023-02-20,Alex Martinez,R100042,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.3,175,227.5,Paid
INV200516,2023-02-20,Alex Martinez,R100042,Instructor time - Jenny Park,Instructor,1.3,75,97.5,Paid
INV200517,2023-02-19,Jamie Chen,R100175,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.0,185,370.0,Paid
INV200517,2023-02-19,Jamie Chen,R100175,Instructor time - Mike Anderson,Instructor,2.3,75,172.5,Paid
INV200517,2023-02-19,Jamie Chen,R100175,Ground instruction / briefing,Ground,0.7,65,45.5,Paid
INV200518,2023-02-19,Emma Thompson,R100624,Aircraft rental - N1175C (Piper PA-28R-201),Aircraft,2.3,235,540.5,Paid
INV200519,2023-02-20,Hannah Davis,R100925,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.4,175,420.0,Paid
INV200520,2023-02-20,Hannah Davis,R100926,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.4,190,266.0,Paid
INV200521,2023-02-19,Priya Patel,R100458,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.7,185,314.5,Paid
INV200521,2023-02-19,Priya Patel,R100458,Instructor time - Sarah Phillips,Instructor,1.7,75,127.5,Paid
INV200522,2023-02-20,Olivia Nguyen,R100848,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.9,190,361.0,Paid
INV200523,2023-02-19,Hannah Davis,R100929,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.0,185,370.0,Paid
INV200523,2023-02-19,Hannah Davis,R100929,Instructor time - Mike Anderson,Instructor,2.3,75,172.5,Paid
INV200523,2023-02-19,Hannah Davis,R100929,Ground instruction / briefing,Ground,0.8,65,52.0,Paid
INV200524,2023-02-22,Isabella Rodriguez,R101028,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.7,185,314.5,Paid
INV200524,2023-02-22,Isabella Rodriguez,R101028,Instructor time - Sarah Phillips,Instructor,2.0,75,150.0,Paid
INV200525,2023-02-20,Jamie Chen,R100168,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.4,175,420.0,Paid
INV200525,2023-02-20,Jamie Chen,R100168,Instructor time - Mike Anderson,Instructor,2.4,75,180.0,Paid
INV200526,2023-02-23,Ryan O'Brien,R100726,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200526,2023-02-23,Ryan O'Brien,R100726,Instructor time - Sarah Phillips,Instructor,1.9,75,142.5,Paid
INV200526,2023-02-23,Ryan O'Brien,R100726,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200527,2023-02-25,Ava Singh,R101272,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.5,190,285.0,Paid
INV200527,2023-02-25,Ava Singh,R101272,Instructor time - Jenny Park,Instructor,2.0,75,150.0,Paid
INV200527,2023-02-25,Ava Singh,R101272,Ground instruction / briefing,Ground,0.5,65,32.5,Paid
INV200528,2023-02-24,Mia Foster,R101364,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.7,185,314.5,Paid
INV200528,2023-02-24,Mia Foster,R101364,Instructor time - Jenny Park,Instructor,2.2,75,165.0,Paid
INV200529,2023-02-25,Marcus Johnson,R100358,Aircraft rental - N1175C (Piper PA-28R-201),Aircraft,2.3,235,540.5,Outstanding
INV200529,2023-02-25,Marcus Johnson,R100358,Instructor time - Sarah Phillips,Instructor,2.8,75,210.0,Outstanding
INV200530,2023-02-28,Lucas Bennett,R101466,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200530,2023-02-28,Lucas Bennett,R101466,Instructor time - Sarah Phillips,Instructor,1.6,75,120.0,Paid
INV200531,2023-02-26,Priya Patel,R100433,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.7,175,297.5,Paid
INV200531,2023-02-26,Priya Patel,R100433,Instructor time - Sarah Phillips,Instructor,2.0,75,150.0,Paid
INV200531,2023-02-26,Priya Patel,R100433,Ground instruction / briefing,Ground,1.0,65,65.0,Paid
INV200532,2023-02-27,Priya Patel,R100440,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200532,2023-02-27,Priya Patel,R100440,Instructor time - Sarah Phillips,Instructor,1.7,75,127.5,Paid
INV200532,2023-02-27,Priya Patel,R100440,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200533,2023-02-28,Priya Patel,R100439,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.3,190,247.0,Paid
INV200533,2023-02-28,Priya Patel,R100439,Instructor time - Sarah Phillips,Instructor,1.3,75,97.5,Paid
INV200533,2023-02-28,Priya Patel,R100439,Ground instruction / briefing,Ground,1.3,65,84.5,Paid
INV200534,2023-03-02,Priya Patel,R100448,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.4,175,245.0,Paid
INV200534,2023-03-02,Priya Patel,R100448,Instructor time - Sarah Phillips,Instructor,1.7,75,127.5,Paid
INV200535,2023-03-04,Lucas Bennett,R101469,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.5,175,437.5,Paid
INV200536,2023-03-03,Alex Martinez,R100061,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.2,185,407.0,Paid
INV200536,2023-03-03,Alex Martinez,R100061,Instructor time - Jenny Park,Instructor,2.7,75,202.5,Paid
INV200537,2023-03-05,Ryan O'Brien,R100716,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200537,2023-03-05,Ryan O'Brien,R100716,Instructor time - Doug Hayes,Instructor,2.1,75,157.5,Paid
INV200538,2023-03-04,Olivia Nguyen,R100861,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200538,2023-03-04,Olivia Nguyen,R100861,Instructor time - Doug Hayes,Instructor,2.6,75,195.0,Paid
INV200539,2023-03-04,Mia Foster,R101368,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.4,175,245.0,Paid
INV200539,2023-03-04,Mia Foster,R101368,Instructor time - Jenny Park,Instructor,1.4,75,105.0,Paid
INV200539,2023-03-04,Mia Foster,R101368,Ground instruction / briefing,Ground,0.6,65,39.0,Paid
INV200540,2023-03-09,Olivia Nguyen,R100853,Aircraft rental - N9923R (Cessna 182RG),Aircraft,2.1,230,483.0,Paid
INV200540,2023-03-09,Olivia Nguyen,R100853,Instructor time - Doug Hayes,Instructor,2.6,75,195.0,Paid
INV200541,2023-03-07,Mia Foster,R101390,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.5,190,285.0,Paid
INV200542,2023-03-09,Marcus Johnson,R100348,Aircraft rental - N1175C (Piper PA-28R-201),Aircraft,1.9,235,446.5,Paid
INV200542,2023-03-09,Marcus Johnson,R100348,Instructor time - Sarah Phillips,Instructor,2.2,75,165.0,Paid
INV200543,2023-03-12,Alex Martinez,R100053,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.8,190,342.0,Paid
INV200543,2023-03-12,Alex Martinez,R100053,Instructor time - Mike Anderson,Instructor,1.8,75,135.0,Paid
INV200544,2023-03-11,Jamie Chen,R100162,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.4,190,456.0,Paid
INV200544,2023-03-11,Jamie Chen,R100162,Instructor time - Doug Hayes,Instructor,2.9,75,217.5,Paid
INV200545,2023-03-11,Marcus Johnson,R100350,Aircraft rental - N1175C (Piper PA-28R-201),Aircraft,1.3,235,305.5,Paid
INV200545,2023-03-11,Marcus Johnson,R100350,Instructor time - Sarah Phillips,Instructor,1.6,75,120.0,Paid
INV200546,2023-03-10,Alex Martinez,R100063,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.4,175,245.0,Paid
INV200546,2023-03-10,Alex Martinez,R100063,Instructor time - Jenny Park,Instructor,1.4,75,105.0,Paid
INV200547,2023-03-13,Ryan O'Brien,R100729,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.3,175,402.5,Paid
INV200547,2023-03-13,Ryan O'Brien,R100729,Instructor time - Sarah Phillips,Instructor,2.6,75,195.0,Paid
INV200548,2023-03-15,Alex Martinez,R100052,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.9,190,361.0,Paid
INV200548,2023-03-15,Alex Martinez,R100052,Instructor time - Jenny Park,Instructor,1.9,75,142.5,Paid
INV200549,2023-03-15,Ryan O'Brien,R100719,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.4,190,456.0,Paid
INV200549,2023-03-15,Ryan O'Brien,R100719,Instructor time - Sarah Phillips,Instructor,2.4,75,180.0,Paid
INV200550,2023-03-20,Sarah Williams,R100250,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.6,185,296.0,Paid
INV200550,2023-03-20,Sarah Williams,R100250,Instructor time - Sarah Phillips,Instructor,1.6,75,120.0,Paid
INV200551,2023-03-18,Marcus Johnson,R100351,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.3,190,437.0,Paid
INV200551,2023-03-18,Marcus Johnson,R100351,Instructor time - Mike Anderson,Instructor,2.3,75,172.5,Paid
INV200551,2023-03-18,Marcus Johnson,R100351,Ground instruction / briefing,Ground,0.9,65,58.5,Paid
INV200552,2023-03-20,Marcus Johnson,R100352,Aircraft rental - N1175C (Piper PA-28R-201),Aircraft,2.3,235,540.5,Paid
INV200552,2023-03-20,Marcus Johnson,R100352,Instructor time - Jenny Park,Instructor,2.6,75,195.0,Paid
INV200553,2023-03-20,Olivia Nguyen,R100849,Aircraft rental - N1175C (Piper PA-28R-201),Aircraft,1.3,235,305.5,Paid
INV200553,2023-03-20,Olivia Nguyen,R100849,Instructor time - Doug Hayes,Instructor,1.3,75,97.5,Paid
INV200554,2023-03-23,Priya Patel,R100436,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.0,185,370.0,Paid
INV200554,2023-03-23,Priya Patel,R100436,Instructor time - Sarah Phillips,Instructor,2.0,75,150.0,Paid
INV200555,2023-03-22,Sarah Williams,R100272,Aircraft rental - N7732K (Cessna 172S),Aircraft,1.2,185,222.0,Paid
INV200555,2023-03-22,Sarah Williams,R100272,Instructor time - Sarah Phillips,Instructor,1.2,75,90.0,Paid
INV200556,2023-03-22,Olivia Nguyen,R100852,Aircraft rental - N9923R (Cessna 182RG),Aircraft,1.5,230,345.0,Paid
INV200556,2023-03-22,Olivia Nguyen,R100852,Instructor time - Mike Anderson,Instructor,1.8,75,135.0,Paid
INV200557,2023-03-23,Michael Sanders,R101588,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.0,175,175.0,Outstanding
INV200557,2023-03-23,Michael Sanders,R101588,Instructor time - Sarah Phillips,Instructor,1.0,75,75.0,Outstanding
INV200558,2023-03-25,Alex Martinez,R100045,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.5,185,277.5,Paid
INV200558,2023-03-25,Alex Martinez,R100045,Instructor time - Jenny Park,Instructor,1.8,75,135.0,Paid
INV200559,2023-03-22,Olivia Nguyen,R100854,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,2.0,190,380.0,Paid
INV200559,2023-03-22,Olivia Nguyen,R100854,Instructor time - Doug Hayes,Instructor,2.0,75,150.0,Paid
INV200560,2023-03-23,Ryan O'Brien,R100725,Aircraft rental - N7732K (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200560,2023-03-23,Ryan O'Brien,R100725,Instructor time - Sarah Phillips,Instructor,2.6,75,195.0,Paid
INV200561,2023-03-26,Sarah Williams,R100257,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.8,175,315.0,Paid
INV200561,2023-03-26,Sarah Williams,R100257,Instructor time - Tom Reyes,Instructor,2.3,75,172.5,Paid
INV200561,2023-03-26,Sarah Williams,R100257,Ground instruction / briefing,Ground,0.8,65,52.0,Paid
INV200562,2023-03-27,Alex Martinez,R100062,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200562,2023-03-27,Alex Martinez,R100062,Instructor time - Sarah Phillips,Instructor,2.1,75,157.5,Paid
INV200563,2023-03-29,Ryan O'Brien,R100731,Aircraft rental - N4521P (Cessna 172N),Aircraft,2.3,175,402.5,Paid
INV200563,2023-03-29,Ryan O'Brien,R100731,Instructor time - Sarah Phillips,Instructor,2.3,75,172.5,Paid
INV200564,2023-04-01,Jamie Chen,R100172,Aircraft rental - N6603L (Cessna 172S),Aircraft,1.4,185,259.0,Paid
INV200564,2023-04-01,Jamie Chen,R100172,Instructor time - Mike Anderson,Instructor,1.7,75,127.5,Paid
INV200565,2023-04-02,Ryan O'Brien,R100721,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200565,2023-04-02,Ryan O'Brien,R100721,Instructor time - Sarah Phillips,Instructor,2.6,75,195.0,Paid
INV200565,2023-04-02,Ryan O'Brien,R100721,Ground instruction / briefing,Ground,1.4,65,91.0,Paid
INV200566,2023-04-01,Isabella Rodriguez,R101013,Aircraft rental - N4521P (Cessna 172N),Aircraft,1.3,175,227.5,Paid
INV200566,2023-04-01,Isabella Rodriguez,R101013,Instructor time - Jenny Park,Instructor,1.3,75,97.5,Paid
INV200566,2023-04-01,Isabella Rodriguez,R101013,Ground instruction / briefing,Ground,1.2,65,78.0,Paid
INV200567,2023-04-01,Ava Singh,R101282,Aircraft rental - N8814M (Piper PA-28-181),Aircraft,1.4,190,266.0,Paid
INV200567,2023-04-01,Ava Singh,R101282,Instructor time - Tom Reyes,Instructor,1.4,75,105.0,Paid
INV200568,2023-04-01,Alex Martinez,R100060,Aircraft rental - N6603L (Cessna 172S),Aircraft,2.1,185,388.5,Paid
INV200568,2023-04-01,Alex Martinez,R100060,Instructor time - Jenny Park,Instructor,2.6,75,195.0,Paid
