Reservation #,Flight #,Date,Length (hrs),Reservation Type,Status,Client,Aircraft Tail,Aircraft Make,Aircraft Model,Instructor,Rating Hint (synthetic answer key)
R100615,F050600,2023-01-31,1.5,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Tom Reyes,COM
R100832,F050807,2023-01-31,2.3,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Doug Hayes,IFR
R101383,F051342,2023-01-31,1.7,Dual Flight Training,Completed,Mia Foster,N6603L,Cessna,172S,Jenny Park,PPL
R100058,F050055,2023-02-02,1.3,Dual Flight Training,Completed,Alex Martinez,N8814M,Piper,PA-28-181,Jenny Park,IFR
R100821,F050796,2023-02-02,1.3,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Doug Hayes,IFR
R101283,F051247,2023-02-02,2.1,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Tom Reyes,IFR
R100048,F050045,2023-02-03,2.3,Dual Flight Training,Completed,Alex Martinez,N4521P,Cessna,172N,Jenny Park,IFR
R100055,F050052,2023-02-03,2.0,Dual Flight Training,Completed,Alex Martinez,N8814M,Piper,PA-28-181,Jenny Park,IFR
R101367,F051327,2023-02-03,2.2,Dual Flight Training,Completed,Mia Foster,N4521P,Cessna,172N,Jenny Park,PPL
R100051,F050048,2023-02-04,1.5,Dual Flight Training,Completed,Alex Martinez,N4521P,Cessna,172N,Jenny Park,IFR
R100846,F050821,2023-02-05,2.1,Dual Flight Training,Completed,Olivia Nguyen,N6603L,Cessna,172S,Doug Hayes,IFR
R101442,F051399,2023-02-05,1.5,Dual Flight Training,Completed,Lucas Bennett,N6603L,Cessna,172S,Tom Reyes,IFR
R100621,F050606,2023-02-06,1.9,Dual Flight Training,Completed,Emma Thompson,N9923R,Cessna,182RG,Sarah Phillips,COM
R100176,F050170,2023-02-07,2.2,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,IFR
R100617,F050602,2023-02-07,1.9,Dual Flight Training,Completed,Emma Thompson,N4521P,Cessna,172N,Tom Reyes,COM
R100718,F050697,2023-02-07,1.7,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,CFI
R101375,F051334,2023-02-07,2.1,Dual Flight Training,Completed,Mia Foster,N7732K,Cessna,172S,Jenny Park,PPL
R101378,F051337,2023-02-07,1.7,Dual Flight Training,Completed,Mia Foster,N4521P,Cessna,172N,Tom Reyes,PPL
R100829,F050804,2023-02-08,1.9,Dual Flight Training,Completed,Olivia Nguyen,N4521P,Cessna,172N,Doug Hayes,IFR
R101360,F051320,2023-02-08,1.6,Dual Flight Training,Completed,Mia Foster,N6603L,Cessna,172S,Jenny Park,PPL
R100939,F050910,2023-02-09,1.9,Student Solo,Completed,Hannah Davis,N4521P,Cessna,172N,,PPL
R100049,F050046,2023-02-10,1.7,Dual Flight Training,Completed,Alex Martinez,N8814M,Piper,PA-28-181,Mike Anderson,IFR
R100727,F050705,2023-02-11,1.7,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R100357,F050347,2023-02-12,2.0,Dual Flight Training,Completed,Marcus Johnson,N9923R,Cessna,182RG,Sarah Phillips,COM
R100355,F050345,2023-02-13,2.0,Dual Flight Training,Completed,Marcus Johnson,N9923R,Cessna,182RG,Doug Hayes,COM
R101564,F051484,2023-02-13,2.6,Owner Flight,Completed,Robert Klein,N8814M,Piper,PA-28-181,,
R101018,F050987,2023-02-14,1.6,Dual Flight Training,Completed,Isabella Rodriguez,N4521P,Cessna,172N,Doug Hayes,PPL
R101549,,2023-02-14,0.7,Maintenance,Completed,,N1175C,Piper,PA-28R-201,,
R100620,F050605,2023-02-15,1.8,Dual Flight Training,Completed,Emma Thompson,N9923R,Cessna,182RG,Tom Reyes,COM
R101043,F051012,2023-02-15,1.9,Dual Flight Training,Completed,Isabella Rodriguez,N6603L,Cessna,172S,Mike Anderson,PPL
R100042,F050040,2023-02-17,1.3,Dual Flight Training,Completed,Alex Martinez,N4521P,Cessna,172N,Jenny Park,IFR
R100175,F050169,2023-02-17,2.0,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,IFR
R100624,F050608,2023-02-18,2.3,Check Ride,Completed,Emma Thompson,N1175C,Piper,PA-28R-201,,COM
R100925,F050898,2023-02-18,2.4,Student Solo,Completed,Hannah Davis,N4521P,Cessna,172N,,PPL
R100926,F050899,2023-02-18,1.4,Student Solo,Completed,Hannah Davis,N8814M,Piper,PA-28-181,,PPL
R100458,F050446,2023-02-19,1.7,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,IFR
R100848,F050823,2023-02-19,1.9,Check Ride,Completed,Olivia Nguyen,N8814M,Piper,PA-28-181,,IFR
R100929,F050902,2023-02-19,2.0,Dual Flight Training,Completed,Hannah Davis,N7732K,Cessna,172S,Mike Anderson,PPL
R101028,F050997,2023-02-19,1.7,Dual Flight Training,Completed,Isabella Rodriguez,N6603L,Cessna,172S,Sarah Phillips,PPL
R100168,F050162,2023-02-20,2.4,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Mike Anderson,IFR
R100726,F050704,2023-02-20,1.4,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,CFI
R101272,F051237,2023-02-22,1.5,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Jenny Park,IFR
R101364,F051324,2023-02-22,1.7,Dual Flight Training,Completed,Mia Foster,N7732K,Cessna,172S,Jenny Park,PPL
R100358,F050348,2023-02-23,2.3,Dual Flight Training,Completed,Marcus Johnson,N1175C,Piper,PA-28R-201,Sarah Phillips,COM
R101466,F051423,2023-02-25,1.6,Dual Flight Training,Completed,Lucas Bennett,N6603L,Cessna,172S,Sarah Phillips,IFR
R100433,F050422,2023-02-26,1.7,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,IFR
R100440,F050428,2023-02-27,1.4,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Sarah Phillips,IFR
R100439,F050427,2023-02-28,1.3,Dual Flight Training,Completed,Priya Patel,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R100448,F050436,2023-02-28,1.4,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,IFR
R101469,F051426,2023-03-01,2.5,Check Ride,Completed,Lucas Bennett,N4521P,Cessna,172N,,IFR
R100061,F050058,2023-03-02,2.2,Dual Flight Training,Completed,Alex Martinez,N7732K,Cessna,172S,Jenny Park,IFR
R100716,F050695,2023-03-02,2.1,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Doug Hayes,CFI
R100861,F050834,2023-03-03,2.1,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,COM
R101368,F051328,2023-03-03,1.4,Dual Flight Training,Completed,Mia Foster,N4521P,Cessna,172N,Jenny Park,PPL
R100853,F050828,2023-03-07,2.1,Dual Flight Training,Completed,Olivia Nguyen,N9923R,Cessna,182RG,Doug Hayes,COM
R101390,F051348,2023-03-07,1.5,Check Ride,Completed,Mia Foster,N8814M,Piper,PA-28-181,,PPL
R100348,F050338,2023-03-08,1.9,Dual Flight Training,Completed,Marcus Johnson,N1175C,Piper,PA-28R-201,Sarah Phillips,COM
R100053,F050050,2023-03-09,1.8,Dual Flight Training,Completed,Alex Martinez,N8814M,Piper,PA-28-181,Mike Anderson,IFR
R100162,F050157,2023-03-09,2.4,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Doug Hayes,IFR
R100350,F050340,2023-03-09,1.3,Dual Flight Training,Completed,Marcus Johnson,N1175C,Piper,PA-28R-201,Sarah Phillips,COM
R100063,F050060,2023-03-10,1.4,Dual Flight Training,Completed,Alex Martinez,N4521P,Cessna,172N,Jenny Park,IFR
R100729,F050707,2023-03-12,2.3,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,CFI
R100052,F050049,2023-03-14,1.9,Dual Flight Training,Completed,Alex Martinez,N8814M,Piper,PA-28-181,Jenny Park,IFR
R100719,F050698,2023-03-14,2.4,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R101576,F051496,2023-03-14,2.1,Owner Flight,Completed,Robert Klein,N9923R,Cessna,182RG,,
R100250,F050242,2023-03-17,1.6,Dual Flight Training,Completed,Sarah Williams,N6603L,Cessna,172S,Sarah Phillips,IFR
R100351,F050341,2023-03-17,2.3,Dual Flight Training,Completed,Marcus Johnson,N8814M,Piper,PA-28-181,Mike Anderson,COM
R100352,F050342,2023-03-17,2.3,Dual Flight Training,Completed,Marcus Johnson,N1175C,Piper,PA-28R-201,Jenny Park,COM
R100849,F050824,2023-03-19,1.3,Dual Flight Training,Completed,Olivia Nguyen,N1175C,Piper,PA-28R-201,Doug Hayes,COM
R100436,F050424,2023-03-20,2.0,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,IFR
R100272,F050264,2023-03-21,1.2,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Sarah Phillips,IFR
R100852,F050827,2023-03-21,1.5,Dual Flight Training,Completed,Olivia Nguyen,N9923R,Cessna,182RG,Mike Anderson,COM
R101588,F051508,2023-03-21,1.0,Introductory Flight,Completed,Michael Sanders,N4521P,Cessna,172N,Sarah Phillips,
R100045,F050043,2023-03-22,1.5,Dual Flight Training,Completed,Alex Martinez,N6603L,Cessna,172S,Jenny Park,IFR
R100854,F050829,2023-03-22,2.0,Dual Flight Training,Completed,Olivia Nguyen,N8814M,Piper,PA-28-181,Doug Hayes,COM
R100725,F050703,2023-03-23,2.1,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,CFI
R100257,F050249,2023-03-26,1.8,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Tom Reyes,IFR
R100062,F050059,2023-03-27,2.1,Dual Flight Training,Completed,Alex Martinez,N6603L,Cessna,172S,Sarah Phillips,IFR
R100177,,2023-03-28,0,Dual Flight Training,Canceled,Jamie Chen,N8814M,Piper,PA-28-181,Doug Hayes,IFR
R100731,F050709,2023-03-29,2.3,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,CFI
R100172,F050166,2023-03-30,1.4,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,IFR
R100721,F050700,2023-03-30,2.1,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,CFI
R101013,F050982,2023-03-31,1.3,Dual Flight Training,Completed,Isabella Rodriguez,N4521P,Cessna,172N,Jenny Park,PPL
R101282,F051246,2023-03-31,1.4,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Tom Reyes,IFR
R100060,F050057,2023-04-01,2.1,Dual Flight Training,Completed,Alex Martinez,N6603L,Cessna,172S,Jenny Park,IFR
R100266,F050258,2023-04-01,1.5,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Tom Reyes,IFR
R100356,F050346,2023-04-03,2.0,Dual Flight Training,Completed,Marcus Johnson,N8814M,Piper,PA-28-181,Sarah Phillips,COM
R100444,F050432,2023-04-04,1.9,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Sarah Phillips,IFR
R101274,F051238,2023-04-04,2.1,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Tom Reyes,IFR
R100271,F050263,2023-04-05,2.1,Dual Flight Training,Completed,Sarah Williams,N6603L,Cessna,172S,Sarah Phillips,IFR
R100447,F050435,2023-04-05,2.1,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,IFR
R101404,F051361,2023-04-05,1.5,Dual Flight Training,Completed,Mia Foster,N7732K,Cessna,172S,Jenny Park,IFR
R101415,F051372,2023-04-05,1.5,Dual Flight Training,Completed,Mia Foster,N4521P,Cessna,172N,Jenny Park,IFR
R100252,F050244,2023-04-06,2.3,Dual Flight Training,Completed,Sarah Williams,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R101476,F051433,2023-04-06,2.1,Dual Flight Training,Completed,Lucas Bennett,N1175C,Piper,PA-28R-201,Sarah Phillips,COM
R100270,F050262,2023-04-07,1.4,Dual Flight Training,Completed,Sarah Williams,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R100728,F050706,2023-04-07,1.2,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,CFI
R101263,F051228,2023-04-07,1.3,Dual Flight Training,Completed,Ava Singh,N6603L,Cessna,172S,Tom Reyes,IFR
R101477,F051434,2023-04-07,2.0,Dual Flight Training,Completed,Lucas Bennett,N9923R,Cessna,182RG,Doug Hayes,COM
R100165,F050159,2023-04-09,2.0,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Doug Hayes,IFR
R100354,F050344,2023-04-09,1.5,Dual Flight Training,Completed,Marcus Johnson,N9923R,Cessna,182RG,Sarah Phillips,COM
R100445,F050433,2023-04-10,1.6,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,IFR
R100264,F050256,2023-04-11,2.2,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Sarah Phillips,IFR
R100446,F050434,2023-04-12,1.7,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,IFR
R100038,F050036,2023-04-13,2.3,Dual Flight Training,Completed,Alex Martinez,N7732K,Cessna,172S,Tom Reyes,IFR
R100353,F050343,2023-04-13,2.0,Dual Flight Training,Completed,Marcus Johnson,N9923R,Cessna,182RG,Sarah Phillips,COM
R101020,F050989,2023-04-13,1.4,Dual Flight Training,Completed,Isabella Rodriguez,N8814M,Piper,PA-28-181,Doug Hayes,PPL
R101412,F051369,2023-04-14,1.4,Dual Flight Training,Completed,Mia Foster,N7732K,Cessna,172S,Jenny Park,IFR
R100717,F050696,2023-04-15,2.3,Dual Flight Training,Completed,Ryan O'Brien,N6603L,Cessna,172S,Sarah Phillips,CFI
R100722,F050701,2023-04-15,2.0,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,CFI
R101016,F050985,2023-04-16,2.1,Dual Flight Training,Completed,Isabella Rodriguez,N6603L,Cessna,172S,Mike Anderson,PPL
R100164,F050158,2023-04-17,2.4,Dual Flight Training,Completed,Jamie Chen,N4521P,Cessna,172N,Jenny Park,IFR
R100720,F050699,2023-04-17,1.4,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,CFI
R100862,F050835,2023-04-18,1.7,Dual Flight Training,Completed,Olivia Nguyen,N1175C,Piper,PA-28R-201,Doug Hayes,COM
R101264,F051229,2023-04-18,1.3,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Doug Hayes,IFR
R101265,F051230,2023-04-18,1.6,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Sarah Phillips,IFR
R101394,F051351,2023-04-18,2.2,Dual Flight Training,Completed,Mia Foster,N6603L,Cessna,172S,Jenny Park,IFR
R100457,F050445,2023-04-19,1.5,Dual Flight Training,Completed,Priya Patel,N7732K,Cessna,172S,Sarah Phillips,IFR
R100730,F050708,2023-04-19,1.8,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R100767,F050744,2023-04-19,1.9,Dual Flight Training,Completed,Sofia Garcia,N6603L,Cessna,172S,Jenny Park,PPL
R100056,F050053,2023-04-20,1.9,Dual Flight Training,Completed,Alex Martinez,N4521P,Cessna,172N,Sarah Phillips,IFR
R100173,F050167,2023-04-20,1.2,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,IFR
R101276,F051240,2023-04-20,2.2,Dual Flight Training,Completed,Ava Singh,N4521P,Cessna,172N,Tom Reyes,IFR
R100774,F050751,2023-04-21,2.4,Dual Flight Training,Completed,Sofia Garcia,N8814M,Piper,PA-28-181,Tom Reyes,PPL
R100723,,2023-04-22,0,Dual Flight Training,Canceled,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,CFI
R100773,F050750,2023-04-22,2.0,Dual Flight Training,Completed,Sofia Garcia,N8814M,Piper,PA-28-181,Mike Anderson,PPL
R101040,F051009,2023-04-22,2.2,Dual Flight Training,Completed,Isabella Rodriguez,N4521P,Cessna,172N,Doug Hayes,PPL
R100452,F050440,2023-04-23,1.5,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Sarah Phillips,IFR
R101279,F051243,2023-04-23,1.7,Dual Flight Training,Completed,Ava Singh,N8814M,Piper,PA-28-181,Tom Reyes,IFR
R101409,F051366,2023-04-23,1.4,Dual Flight Training,Completed,Mia Foster,N6603L,Cessna,172S,Jenny Park,IFR
R101470,F051427,2023-04-23,1.5,Dual Flight Training,Completed,Lucas Bennett,N9923R,Cessna,182RG,Sarah Phillips,COM
R101471,F051428,2023-04-23,1.4,Dual Flight Training,Completed,Lucas Bennett,N1175C,Piper,PA-28R-201,Sarah Phillips,COM
R100453,F050441,2023-04-25,1.7,Dual Flight Training,Completed,Priya Patel,N6603L,Cessna,172S,Tom Reyes,IFR
R100733,F050711,2023-04-26,1.6,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,CFI
R101408,F051365,2023-04-26,1.9,Dual Flight Training,Completed,Mia Foster,N8814M,Piper,PA-28-181,Jenny Park,IFR
R100039,F050037,2023-04-27,1.5,Dual Flight Training,Completed,Alex Martinez,N6603L,Cessna,172S,Jenny Park,IFR
R100269,F050261,2023-04-27,1.2,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Sarah Phillips,IFR
R101478,F051435,2023-04-27,2.1,Dual Flight Training,Completed,Lucas Bennett,N4521P,Cessna,172N,Sarah Phillips,COM
R100046,,2023-04-28,0,Dual Flight Training,Canceled,Alex Martinez,N4521P,Cessna,172N,Jenny Park,IFR
R101269,F051234,2023-04-28,1.7,Dual Flight Training,Completed,Ava Singh,N7732K,Cessna,172S,Tom Reyes,IFR
R101561,,2023-04-29,1.0,Maintenance,Completed,,N6603L,Cessna,172S,,
R100160,F050155,2023-04-30,2.3,Dual Flight Training,Completed,Jamie Chen,N6603L,Cessna,172S,Mike Anderson,IFR
R100349,F050339,2023-04-30,2.0,Dual Flight Training,Completed,Marcus Johnson,N1175C,Piper,PA-28R-201,Jenny Park,COM
R101285,F051249,2023-05-01,1.5,Check Ride,Completed,Ava Singh,N7732K,Cessna,172S,,IFR
R100938,F050909,2023-05-03,1.5,Dual Flight Training,Completed,Hannah Davis,N8814M,Piper,PA-28-181,Sarah Phillips,PPL
R100181,F050174,2023-05-04,2.1,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Sarah Phillips,IFR
R101392,F051350,2023-05-07,1.4,Dual Flight Training,Completed,Mia Foster,N6603L,Cessna,172S,Tom Reyes,IFR
R101411,F051368,2023-05-07,1.7,Dual Flight Training,Completed,Mia Foster,N8814M,Piper,PA-28-181,Mike Anderson,IFR
R100359,F050349,2023-05-08,2.4,Check Ride,Completed,Marcus Johnson,N8814M,Piper,PA-28-181,,COM
R100850,F050825,2023-05-08,1.9,Dual Flight Training,Completed,Olivia Nguyen,N1175C,Piper,PA-28R-201,Jenny Park,COM
R100865,F050838,2023-05-08,1.7,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,COM
R100732,F050710,2023-05-15,1.3,Dual Flight Training,Completed,Ryan O'Brien,N7732K,Cessna,172S,Sarah Phillips,CFI
R100443,F050431,2023-05-17,1.7,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,IFR
R100769,F050746,2023-05-17,1.7,Dual Flight Training,Completed,Sofia Garcia,N4521P,Cessna,172N,Sarah Phillips,PPL
R100858,F050832,2023-05-19,2.3,Dual Flight Training,Completed,Olivia Nguyen,N9923R,Cessna,182RG,Doug Hayes,COM
R101475,F051432,2023-05-19,2.0,Dual Flight Training,Completed,Lucas Bennett,N1175C,Piper,PA-28R-201,Sarah Phillips,COM
R100057,F050054,2023-05-20,1.2,Dual Flight Training,Completed,Alex Martinez,N8814M,Piper,PA-28-181,Jenny Park,IFR
R100915,F050888,2023-05-20,2.3,Student Solo,Completed,Hannah Davis,N7732K,Cessna,172S,,PPL
R100856,F050830,2023-05-23,2.2,Dual Flight Training,Completed,Olivia Nguyen,N1175C,Piper,PA-28R-201,Doug Hayes,COM
R100254,F050246,2023-05-24,2.2,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Sarah Phillips,IFR
R100047,F050044,2023-05-25,2.4,Dual Flight Training,Completed,Alex Martinez,N4521P,Cessna,172N,Jenny Park,IFR
R100180,F050173,2023-05-25,1.6,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,IFR
R100724,F050702,2023-05-25,2.2,Dual Flight Training,Completed,Ryan O'Brien,N8814M,Piper,PA-28-181,Sarah Phillips,CFI
R100249,F050241,2023-05-26,2.0,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Sarah Phillips,IFR
R101393,,2023-05-26,0,Dual Flight Training,Canceled,Mia Foster,N6603L,Cessna,172S,Jenny Park,IFR
R100435,F050423,2023-05-27,1.8,Dual Flight Training,Completed,Priya Patel,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R100860,F050833,2023-05-28,1.5,Dual Flight Training,Completed,Olivia Nguyen,N1175C,Piper,PA-28R-201,Doug Hayes,COM
R101473,F051430,2023-05-29,1.5,Dual Flight Training,Completed,Lucas Bennett,N7732K,Cessna,172S,Doug Hayes,COM
R100041,F050039,2023-05-30,1.8,Dual Flight Training,Completed,Alex Martinez,N7732K,Cessna,172S,Jenny Park,IFR
R100161,F050156,2023-05-30,2.0,Dual Flight Training,Completed,Jamie Chen,N7732K,Cessna,172S,Mike Anderson,IFR
R100255,F050247,2023-06-01,1.2,Dual Flight Training,Completed,Sarah Williams,N8814M,Piper,PA-28-181,Sarah Phillips,IFR
R100179,F050172,2023-06-02,2.3,Dual Flight Training,Completed,Jamie Chen,N8814M,Piper,PA-28-181,Mike Anderson,IFR
R100260,F050252,2023-06-02,2.0,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Sarah Phillips,IFR
R100734,F050712,2023-06-02,2.4,Dual Flight Training,Completed,Ryan O'Brien,N4521P,Cessna,172N,Sarah Phillips,CFI
R100859,,2023-06-02,0,Dual Flight Training,Canceled,Olivia Nguyen,N9923R,Cessna,182RG,Sarah Phillips,COM
R100944,F050915,2023-06-02,1.8,Student Solo,Completed,Hannah Davis,N7732K,Cessna,172S,,PPL
R100752,F050729,2023-06-03,1.3,Dual Flight Training,Completed,Sofia Garcia,N6603L,Cessna,172S,Tom Reyes,PPL
R101038,F051007,2023-06-07,2.3,Dual Flight Training,Completed,Isabella Rodriguez,N4521P,Cessna,172N,Doug Hayes,PPL
R101480,F051437,2023-06-07,2.0,Dual Flight Training,Completed,Lucas Bennett,N6603L,Cessna,172S,Sarah Phillips,COM
R100863,F050836,2023-06-08,2.2,Dual Flight Training,Completed,Olivia Nguyen,N9923R,Cessna,182RG,Doug Hayes,COM
R100871,F050844,2023-06-08,1.5,Dual Flight Training,Completed,Olivia Nguyen,N5567W,Piper,PA-44-180,Doug Hayes,AMEL
R100253,F050245,2023-06-09,1.4,Dual Flight Training,Completed,Sarah Williams,N4521P,Cessna,172N,Sarah Phillips,IFR
R101024,F050993,2023-06-09,1.9,Dual Flight Training,Completed,Isabella Rodriguez,N8814M,Piper,PA-28-181,Doug Hayes,PPL
R100735,F050713,2023-06-11,2.4,Check Ride,Completed,Ryan O'Brien,N7732K,Cessna,172S,,CFI
R100054,F050051,2023-06-12,1.7,Dual Flight Training,Completed,Alex Martinez,N8814M,Piper,PA-28-181,Jenny Park,IFR
R100441,F050429,2023-06-12,1.7,Dual Flight Training,Completed,Priya Patel,N4521P,Cessna,172N,Sarah Phillips,IFR
R101042,F051011,2023-06-12,1.6,Dual Flight Training,Completed,Isabella Rodriguez,N8814M,Piper,PA-28-181,Tom Reyes,PPL
R100184,F050177,2023-06-13,2.3,Check Ride,Completed,Jamie Chen,N7732K,Cessna,172S,,IFR
R101023,F050992,2023-06-13,1.5,Dual Flight Training,Completed,Isabella Rodriguez,N8814M,Piper,PA-28-181,Doug Hayes,PPL
R100360,F050350,2023-06-14,2.3,Dual Flight Training,Completed,Marcus Johnson,N5567W,Piper,PA-44-180,Doug Hayes,AMEL
R100851,F050826,2023-06-14,1.4,Dual Flight Training,Completed,Olivia Nguyen,N7732K,Cessna,172S,Doug Hayes,COM
R100268,F050260,2023-06-15,1.3,Dual Flight Training,Completed,Sarah Williams,N8814M,Piper,PA-28-181,Jenny Park,IFR
R101030,F050999,2023-06-16,1.7,Dual Flight Training,Completed,Isabella Rodriguez,N4521P,Cessna,172N,Doug Hayes,PPL
R101533,,2023-06-16,0.7,Maintenance,Completed,,N5567W,Piper,PA-44-180,,
R100868,F050841,2023-06-17,2.1,Dual Flight Training,Completed,Olivia Nguyen,N3340T,Piper,PA-44-180,Doug Hayes,AMEL
R100361,F050351,2023-06-18,2.2,Dual Flight Training,Completed,Marcus Johnson,N5567W,Piper,PA-44-180,Jenny Park,AMEL
R101391,F051349,2023-06-18,2.4,Dual Flight Training,Completed,Mia Foster,N8814M,Piper,PA-28-181,Jenny Park,IFR
R100050,F050047,2023-06-20,2.2,Dual Flight Training,Completed,Alex Martinez,N8814M,Piper,PA-28-181,Jenny Park,IFR
R100267,F050259,2023-06-20,1.3,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Mike Anderson,IFR
R100362,F050352,2023-06-21,2.1,Dual Flight Training,Completed,Marcus Johnson,N5567W,Piper,PA-44-180,Sarah Phillips,AMEL
R101481,F051438,2023-06-21,2.3,Dual Flight Training,Completed,Lucas Bennett,N9923R,Cessna,182RG,Doug Hayes,COM
R100754,F050731,2023-06-22,1.4,Dual Flight Training,Completed,Sofia Garcia,N8814M,Piper,PA-28-181,Jenny Park,PPL
R100855,,2023-06-22,0,Dual Flight Training,Canceled,Olivia Nguyen,N9923R,Cessna,182RG,Doug Hayes,COM
R101479,F051436,2023-06-22,2.1,Dual Flight Training,Completed,Lucas Bennett,N1175C,Piper,PA-28R-201,Sarah Phillips,COM
R101410,F051367,2023-06-23,1.4,Dual Flight Training,Completed,Mia Foster,N4521P,Cessna,172N,Jenny Park,IFR
R100866,F050839,2023-06-25,1.9,Dual Flight Training,Completed,Olivia Nguyen,N1175C,Piper,PA-28R-201,Doug Hayes,COM
R100872,F050845,2023-06-25,2.3,Dual Flight Training,Completed,Olivia Nguyen,N5567W,Piper,PA-44-180,Mike Anderson,AMEL
R101472,F051429,2023-06-26,1.4,Dual Flight Training,Completed,Lucas Bennett,N9923R,Cessna,182RG,Sarah Phillips,COM
R100263,F050255,2023-06-27,2.1,Dual Flight Training,Completed,Sarah Williams,N6603L,Cessna,172S,Sarah Phillips,IFR
R100064,F050061,2023-06-28,1.7,Check Ride,Completed,Alex Martinez,N6603L,Cessna,172S,,IFR
R100262,F050254,2023-06-29,2.3,Dual Flight Training,Completed,Sarah Williams,N7732K,Cessna,172S,Doug Hayes,IFR
R101574,F051494,2023-06-29,2.8,Owner Flight,Completed,Robert Klein,N7732K,Cessna,172S,,
R101292,F051255,2023-07-01,1.2,Dual Flight Training,Completed,Ava Singh,N1175C,Piper,PA-28R-201,Tom Reyes,COM
